section;sort_order;first_name;last_name;position;year;affiliation;image;website
board;1;Prof. Dr. Dr. h.c. Uschi;Backes-Gellner;Board;2026;University of Zurich;uschi-backes.png;https://www.business.uzh.ch/de/research/professorships/emap/team/uschibackes.html;
board;2;Prof. Sandra;McNally;Board;2026;University of Surrey;sandra-mcnally.jpg;https://www.surrey.ac.uk/people/sandra-mcnally;
board;3;Prof. Dr. Samuel;Mühlemann;Board;2026;LMU München;samuel-muehlemann.jpg;https://www.som.lmu.de/wipaed/de/team/kontaktseite/samuel-muehlemann-30f8a8ae.html;
board;4;Prof. Dr. Harald;Pfeifer;Board;2026;Maastricht University and BiBB;harald-pfeifer.png;https://www.maastrichtuniversity.nl/h-pfeifer;
board;5;Prof. Dr. Stefan C.;Wolter;Board;2026;University of Bern and SCCRE;stefan-wolter.jpg;https://www.skbf-csre.ch/skbf/team/stefan-wolter/;
administration;2;Prof. Dr. Claudio;Schilter;Secretary General;2026;University of Bern;claudio-schilter.jpg;https://www.claudioschilter.com;
member;;Dr.Luke;Smith;Member;2026;University of Nowhere;;;
member;;Prof. Dr. Dr. h.c. Uschi;Backes-Gellner;Member;2026;University of Zurich;uschi-backes.png;https://www.business.uzh.ch/de/research/professorships/emap/team/uschibackes.html;
member;;Prof. Sandra;McNally;Member;2026;University of Surrey;sandra-mcnally.jpg;https://www.surrey.ac.uk/people/sandra-mcnally;
member;;Prof. Dr. Samuel;Mühlemann;Member;2026;LMU München;samuel-muehlemann.jpg;https://www.som.lmu.de/wipaed/de/team/kontaktseite/samuel-muehlemann-30f8a8ae.html;
member;;Prof. Dr. Harald;Pfeifer;Member;2026;Maastricht University and BiBB;harald-pfeifer.png;https://www.maastrichtuniversity.nl/h-pfeifer;
member;;Prof. Dr. Stefan C.;Wolter;Member;2026;University of Bern and SCCRE;stefan-wolter.jpg;https://www.skbf-csre.ch/skbf/team/stefan-wolter/;
administration;1;Roberto;Sartore;Website Manager;2026;University of Bern;roberto-sartore.png;https://www.linkedin.com/in/roberto-sartore-9a664a1b2/;
member;;Dr. Enzo;Brox;Member;2026;University of Bern;enzo-brox.jpg;https://sites.google.com/view/ebrox/home?pli=1&authuser=0;
member;;Dr. Thea;Zöllner;Member;2026;University of Bern;thea-zoellner.png;https://www.theazoellner.com/;
member;;Dr. Christian;Gschwendt;Member;2026;University of Bern;christian-gschwendt.jpg;https://sites.google.com/view/christian-gschwendt;
